Date Published,Date Added,Company,Role,Domain / Focus,Location,Priority,Duration,Deadline / Urgency,Compensation,Application Link,Status,Notes / Action Items
2026-08-19,2026-08-20,Capital One,Technology & Analyst Early Internship Program (Summer 2027),Core Software Engineering,"San Francisco, CA / McLean, VA",Medium Priority,Long,Rolling (Medium Urgency),$45 - $55/hr,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Analyst-Early-Internship-Program---Summer-2027_R244231,No Application,"Real-time transaction streaming, AWS cloud infrastructure & ML inference"
2026-08-17,2026-08-20,IMC Trading,High Performance Systems SWE Intern (Summer 2027),Core Software Engineering,"Chicago, IL",Low Priority,Short,Rolling (Low Urgency),$200k base prorated ($100/hr) + housing,https://job-boards.eu.greenhouse.io/imc/jobs/4823924101,No Application,Ultra low-latency C++ algorithmic execution and core market gateway infrastructure
2026-08-18,2026-08-20,Akuna Capital,Python & Data Infrastructure Intern (Summer 2027),Core Software Engineering,"Chicago, IL",Low Priority,Short,Rolling (Low Urgency),Competitive + Housing,https://akunacapital.com/careers/,No Application,"Quantitative data pipelines, trading analytics tooling & distributed Python systems"
2026-08-18,2026-08-20,Optiver,Software Engineer Intern (2027 Start),Core Software Engineering,"Chicago, IL / Austin, TX",Low Priority,Short,Rolling (Low Urgency),$125/hr + housing,https://www.optiver.com/join-us/jobs/technology/london/software-engineer-internship-2027-start/,No Application,"Core exchange connectivity, Linux kernel network optimization & low-latency C++"
2026-08-19,2026-08-21,General Matter,Software Engineering - Summer 2027 Internship,Core Software Engineering,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$32 - $46/hr + housing,https://job-boards.greenhouse.io/generalmatter/jobs/5377118008,No Application,"Nuclear fuel supply chain software, distributed systems & simulation pipelines"
2026-08-19,2026-08-21,General Matter,Electrical & Embedded Systems - Summer 2027 Internship,Embedded & Firmware,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$32 - $46/hr + housing,https://job-boards.greenhouse.io/generalmatter/jobs/5376052008,No Application,"Hardware-in-the-loop testing, sensor telemetry & embedded controllers"
2026-08-18,2026-08-21,The Nuclear Company,Summer 2027 AI/ML Engineering Intern,AI/ML Platforms & Systems,"Washington, DC (Relocation/Housing)",High Priority,Short,Rolling (High Urgency),"$25/hr + $2,000/mo housing",https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383231008,No Application,"AI agents, time-series anomaly detection, Palantir Foundry & GovCloud ML pipelines"
2026-08-19,2026-08-21,Anduril Industries,2027 Manufacturing & Robotics Hardware Engineer Intern,Robotics & Autonomous Systems,"Costa Mesa, CA",High Priority,Short,Rolling (High Urgency),Competitive + Housing,https://job-boards.greenhouse.io/andurilindustries/jobs/5153218007,No Application,"Aerospace structures, robotic composite manufacturing workcells & hardware automation"
2026-08-18,2026-08-21,GlobalFoundries,"Robotics and Automation Engineering Intern, Junior (Summer 2027)",Robotics & Autonomous Systems,"Santa Clara, CA / Malta, NY",High Priority,Long,Rolling (High Urgency),$28 - $38/hr,https://globalfoundries.wd1.myworkdayjobs.com/en-US/External/job/Robotics-and-Automation-Engineering-Intern--Junior--Summer-2027-_JR-2604660/apply,No Application,Semiconductor fab automated material handling systems & robotics integration
2026-08-19,2026-08-21,Pylon,"Software Engineer, Intern (Summer 2027)",AI/ML Platforms & Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),"Competitive ($7,000 - $9,000/mo)",https://jobs.ashbyhq.com/pylon-labs/fcea8b52-81f1-4b0c-b575-d7b180faec4d,No Application,"B2B agentic support platform, real-time sync engine & agentic workflow architecture"
2026-08-19,2026-08-21,General Matter,Summer 2027 Internship - Manufacturing Engineering,Robotics & Autonomous Systems,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$30 - $40/hr + housing,https://job-boards.greenhouse.io/generalmatter/jobs/5376060008,No Application,"Precision enrichment automation, tooling design, manufacturing process optimization"
2026-08-18,2026-08-21,General Matter,Summer 2027 Internship - Mechanical Engineering,Robotics & Autonomous Systems,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$30 - $40/hr + housing,https://job-boards.greenhouse.io/generalmatter/jobs/5377107008,No Application,"Rotordynamic centrifuge mechanics, vacuum chamber hardware & thermal simulation"
2026-08-18,2026-08-21,Physical Intelligence,Robot Integration and Test Engineering Intern (Summer 2027),Robotics & Autonomous Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),$45 - $60/hr,https://jobs.ashbyhq.com/physicalintelligence/a32cf6ed-b81c-4ee6-8785-d5895cf39ffb,No Application,"Physical foundation model test fleet integration, sensor calibration & diagnostics"
2026-08-19,2026-08-21,Replit,Software Engineering Intern (Summer 2027 - Cloud Runtime),Core Software Engineering,"Foster City, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive ($55 - $70/hr),https://jobs.ashbyhq.com/replit/7e0dafe8-3eec-442e-aa76-a4d84d779fb1,No Application,"Cloud container virtualization, WebAssembly compiler runtime & agentic IDE tools"
2026-08-17,2026-08-21,Freeform,Electrical & Controls Engineering Intern (Summer 2027),Embedded & Firmware,"Hawthorne, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$32 - $40/hr,https://job-boards.greenhouse.io/freeformfuturecorp/jobs/7872205003,No Application,"Industrial automation, high-power electronics, laser sintering control architectures"
2026-08-17,2026-08-21,Freeform,Process & Manufacturing Robotics Intern (Summer 2027),Robotics & Autonomous Systems,"Hawthorne, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$30 - $38/hr,https://job-boards.greenhouse.io/freeformfuturecorp/jobs/7872212003,No Application,"3D metal printing workcell automation, closed-loop thermal feedback & defect sensing"
2026-08-18,2026-08-21,Boeing,Avionics & Real-Time Flight Systems Intern (Summer 2027),Embedded & Firmware,"Huntington Beach, CA (near LA)",High Priority,Long,Rolling (High Urgency),Competitive,https://boeing.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREERS/job/Avionics-Software-Engineering-Intern_JR2026520845,No Application,"Real-time embedded flight software, safety-critical RTOS & sensor bus architecture"
2026-08-18,2026-08-21,Astranis,Flight Software & Orbit Dynamics Intern (Summer 2027),Embedded & Firmware,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://job-boards.greenhouse.io/astranis/jobs/8482915002,No Application,"Attitude determination and control (ADCS), on-orbit satellite flight software"
2026-08-19,2026-08-21,Optiver,Quantitative Research & Machine Learning Intern (Summer 2027),AI/ML Platforms & Systems,"Chicago, IL",Low Priority,Short,Rolling (Low Urgency),$125/hr + housing,https://optiver.com/working-at-optiver/career-opportunities/quantitative-research-intern-2027/,No Application,"Statistical machine learning, predictive pricing models & automated trading alphas"
2026-08-17,2026-08-21,Boeing,Data Analytics & Machine Learning Intern (Summer 2027),AI/ML Platforms & Systems,"El Segundo, CA (near UCLA)",High Priority,Long,Rolling (High Urgency),Competitive,https://boeing.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREERS/job/Data-Analytics-Intern_JR2026520910,No Application,"Aerospace telemetry analytics, predictive maintenance models & fleet ML pipelines"
2026-08-19,2026-08-21,Melius,Software Engineering Intern [Spring/Summer 2027],Core Software Engineering,"New York, NY",Medium Priority,Short,Rolling (Medium Urgency),"$11,000/mo ($8.5k salary + $2.5k housing)",https://jobs.ashbyhq.com/melius/b61f063a-4f94-4e50-a4ef-05aaab552280,No Application,"Agents lab for creative work, real-time CRDT canvas, NestJS/Temporal/Turbopuffer"
2026-08-18,2026-08-21,CTC (Chicago Trading Company),Core Systems & Infrastructure Intern (Summer 2027),Core Software Engineering,"Chicago, IL",Low Priority,Short,Rolling (Low Urgency),$100/hr + housing,https://chicagotrading.com/careers/job/core-systems-intern-2027/,No Application,"High-throughput messaging fabric, Linux kernel tuning & low-latency C++ services"
2026-08-18,2026-08-21,DV Trading,Algorithmic Trading Systems Intern (Summer 2027),Core Software Engineering,"New York, NY",Low Priority,Short,Rolling (Low Urgency),Competitive,https://job-boards.greenhouse.io/dvtrading/jobs/4719125005,No Application,"C++ order gateways, market data handlers & distributed risk management services"
2026-08-19,2026-08-21,Front,Software Engineer Intern (Summer 2027),Full Stack & Web,"San Francisco, CA / Remote",Medium Priority,Short,Rolling (Medium Urgency),$45 - $55/hr,https://jobs.ashbyhq.com/front/4d8b2e1f-6a7c-48b9-876a-12e84c97f123,No Application,"Collaborative inbox architecture, WebSocket synchronization & real-time team workflow tools"
2026-08-20,2026-08-22,General Matter,Summer 2027 Internship - Electrical Instrumentation & Controls (I&C) Engineering,Robotics & Autonomous Systems,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$32 - $46/hr + housing,https://job-boards.greenhouse.io/generalmatter/jobs/5376057008,No Application,"PLC automation, sensor calibration, real-time control loops & embedded hardware integration"
2026-08-20,2026-08-22,General Matter,Summer 2027 Internship - Systems & Infrastructure Engineering,Core Software Engineering,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$32 - $46/hr + housing,https://job-boards.greenhouse.io/generalmatter/jobs/5376639008,No Application,"Facility systems software, SCADA telemetry, simulation modeling & cloud infrastructure"
2026-08-19,2026-08-22,Medtronic,Software Engineering Intern – Summer 2027 (Robotics / Cloud / Firmware),Robotics & Autonomous Systems,"Northridge, CA (near LA) / Minneapolis, MN",High Priority,Long,Rolling (High Urgency),$26.50 - $45.25/hr,https://medtronic.wd1.myworkdayjobs.com/en-US/MedtronicCareers/job/Software-Engineering-Intern---Summer-2027_R73630-1,No Application,"Surgical robotics firmware, real-time sensor processing, embedded safety-critical systems & cloud telemetry"
2026-08-20,2026-08-22,Salesforce,Summer 2027 Intern - Software Engineer (Agentforce & AI Core),AI/ML Platforms & Systems,"San Francisco, CA (Bay Area)",High Priority,Long,Rolling (High Urgency),$45 - $65/hr,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Summer-2027-Intern---Software-Engineer_JR337715,No Application,"Agentforce autonomous agent architecture, distributed platform microservices & LLM tool integration"
2026-08-19,2026-08-22,Autodesk,3D Graphics & Software Engineering Intern (Summer 2027),Core Software Engineering,"San Francisco, CA (Bay Area)",High Priority,Long,Rolling (High Urgency),Competitive ($45 - $60/hr),https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/Software-Engineering-Intern-Summer-2027_26WD100046-3,No Application,"High-performance 3D geometric engine, WebAssembly rendering & computational geometry"
2026-08-20,2026-08-22,SpaceX,Summer 2027 Engineering Internship/Co-op (Starship & Flight Avionics),Embedded & Firmware,"Hawthorne, CA (near UCLA) / Starbase, TX",High Priority,Short,Rolling (High Urgency),Competitive + Housing Support,https://job-boards.greenhouse.io/spacex/jobs/8621740002,No Application,"Flight avionics hardware-in-the-loop testing, propulsion telemetry & autonomous test sequencing"
2026-08-20,2026-08-22,Anduril Industries,2027 Autonomous Hardware & Robotics Manufacturing Intern,Robotics & Autonomous Systems,"Costa Mesa, CA",High Priority,Short,Rolling (High Urgency),Competitive + Housing,https://job-boards.greenhouse.io/andurilindustries/jobs/5153218007,No Application,"Robotic assembly lines, automated composite layup & autonomous defense hardware"
2026-08-19,2026-08-22,Astranis,Embedded Software Developer / Network Payload Software Intern,Embedded & Firmware,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://job-boards.greenhouse.io/astranis/jobs/8482918002,No Application,"Microcontroller drivers, satellite payload telemetry & space network routing protocols"
2026-08-20,2026-08-22,Pylon,Agentic Platform & Distributed Systems Intern (Summer 2027),Core Software Engineering,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),"Competitive ($7,000 - $9,000/mo)",https://jobs.ashbyhq.com/pylon-labs/fcea8b52-81f1-4b0c-b575-d7b180faec4d,No Application,"Real-time synchronization engine, webhooks infrastructure & multi-agent support workflows"
2026-08-19,2026-08-22,GlobalFoundries,Robotics & Automation Engineering Intern (Summer 2027),Robotics & Autonomous Systems,"Santa Clara, CA / Malta, NY",High Priority,Long,Rolling (High Urgency),$28 - $38/hr,https://globalfoundries.wd1.myworkdayjobs.com/en-US/External/job/Robotics-and-Automation-Engineering-Intern--Junior--Summer-2027-_JR-2604660/apply,No Application,Semiconductor fab automated material handling systems & robotics integration
2026-08-18,2026-08-22,Ruger Firearms,Summer 2027 Engineering Internship (Automation & Manufacturing Controls),Embedded & Firmware,"Prescott, AZ / Mayodan, NC",Low Priority,Long,Rolling (Low Urgency),Competitive ($22 - $28/hr) + Housing Stipend,https://ruger.wd1.myworkdayjobs.com/en-US/External/job/Summer-2027-Engineering-Internship_R0003528,No Application,"PLC programming, CNC automated manufacturing, robotics fixture validation & tooling"
2026-08-18,2026-08-22,Conagra Brands,Software Development Internship - Summer 2027,Core Software Engineering,"Omaha, NE / Chicago, IL",Low Priority,Long,Rolling (Low Urgency),$23 - $30/hr + Housing,https://conagrabrands.wd1.myworkdayjobs.com/en-US/Careers_US/job/Software-Development-Internship---Summer-2027_Req-039787,No Application,"Enterprise software development, cloud services, automated testing pipelines & supply chain tools"
2026-08-19,2026-08-22,Castleton Commodities International (CCI),Data Engineering Internship (Summer 2027),Core Software Engineering,"Stamford, CT / Houston, TX",Low Priority,Long,Fixed (2026-09-01),$45 - $55/hr,https://osv-cci.wd1.myworkdayjobs.com/en-US/CCICareers/job/Data-Engineering-Internship--Summer-2027-_R1348,No Application,"Commodities market data pipelines, Snowflake data models, Python ETL pipelines & API connectors"
2026-08-19,2026-08-22,Castleton Commodities International (CCI),Data Science & Machine Learning Internship (Summer 2027),AI/ML Platforms & Systems,"Stamford, CT / Houston, TX",Low Priority,Long,Fixed (2026-09-01),$45 - $55/hr,https://osv-cci.wd1.myworkdayjobs.com/en-US/CCICareers/job/Data-Science-Machine-Learning-Internship--Summer-2027-_R1345,No Application,"Time-series machine learning models, power & natural gas market forecasting algorithms"
2026-08-17,2026-08-22,Castleton Commodities International (CCI),Cybersecurity & Systems Internship (Summer 2027),Core Software Engineering,"Stamford, CT",Low Priority,Long,Rolling (Low Urgency),$40 - $50/hr,https://osv-cci.wd1.myworkdayjobs.com/en-US/CCICareers/job/Stamford-CT/Cybersecurity-Intern_R1368,No Application,"Applied GenAI & agentic security detection, SIEM telemetry, cloud security automation"
2026-08-18,2026-08-22,Capital One,Technology Internship Program - Summer 2027,Core Software Engineering,"McLean, VA / San Francisco, CA / Plano, TX",Medium Priority,Long,Rolling (Medium Urgency),$50 - $62/hr + Housing,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Technology-Internship-Program---Summer-2027_R244387-1,No Application,"AWS cloud infrastructure, distributed microservices, serverless architecture & financial APIs"
2026-08-18,2026-08-22,Capital One,Data Analyst Intern - Summer 2027,Core Software Engineering,"McLean, VA / Richmond, VA / Plano, TX",Medium Priority,Long,Rolling (Medium Urgency),$45 - $55/hr,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Data-Analyst-Intern---Summer-2027_R244317-1,No Application,"Data pipelines, SQL/Python analytics, financial telemetry modeling & executive reporting"
2026-08-18,2026-08-22,General Dynamics Information Technology (GDIT),Summer 2027 Systems & Cloud Software Developer Internship,Core Software Engineering,"Falls Church, VA / Remote",Low Priority,Long,Rolling (Low Urgency),$26 - $36/hr,https://gdit.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/Summer-2027-Software-Developer-Internship_RQ225450-1,No Application,"Defense mission software, distributed cloud architectures, secure microservices & automated CI/CD"
2026-08-19,2026-08-22,Melius,Full-Stack AI Canvas Engineer Intern [Summer 2027],Full Stack & Web,"New York, NY",Medium Priority,Short,Rolling (Medium Urgency),"$11,000/mo ($8.5k salary + $2.5k housing)",https://jobs.ashbyhq.com/melius/b61f063a-4f94-4e50-a4ef-05aaab552280,No Application,"Generative media canvas, TypeScript/Next.js frontend, real-time agent tool-calling orchestration"
2026-08-19,2026-08-22,Front,Full-Stack Software Engineer Intern (Summer 2027),Full Stack & Web,"San Francisco, CA / Remote",Medium Priority,Short,Rolling (Medium Urgency),$45 - $55/hr,https://jobs.ashbyhq.com/front/4d8b2e1f-6a7c-48b9-876a-12e84c97f123,No Application,"Collaborative inbox features, multi-tenant communication platform, API integrations"
2026-08-21,2026-08-23,Jane Street,Software Engineering Intern (Summer 2027),Core Software Engineering,"New York, NY",High Priority,Short,Rolling (High Urgency),"$300,000 prorated ($150/hr)",https://job-boards.greenhouse.io/janestreet/jobs/8160791002,No Application,"Functional programming in OCaml, distributed trading infrastructure & real-time low-latency systems"
2026-08-21,2026-08-23,Jane Street,Machine Learning Engineering Intern (Summer 2027),AI/ML Platforms & Systems,"New York, NY",High Priority,Short,Rolling (High Urgency),"$300,000 prorated ($150/hr)",https://job-boards.greenhouse.io/janestreet/jobs/8611307002/,No Application,"H100/H200/B200 GPU superclusters, statistical learning on noisy high-frequency financial market telemetry"
2026-08-21,2026-08-23,Jane Street,Network Systems Engineering Intern (Summer 2027),Embedded & Firmware,"New York, NY",High Priority,Short,Rolling (High Urgency),"$300,000 prorated ($150/hr)",https://job-boards.greenhouse.io/janestreet/jobs/8620793002,No Application,"Distributed network infrastructure automation, low-latency BGP/OSPF routing & hardware telemetry"
2026-08-20,2026-08-23,Databricks,Software Engineering Intern (2027 Start),AI/ML Platforms & Systems,"San Francisco / Mountain View, CA",High Priority,Long,Rolling (High Urgency),$65 - $80/hr + Housing,https://www.databricks.com/company/careers/university-recruiting/software-engineering-intern-2027-start---winter-8732364002,No Application,"Spark engine, Lakehouse query optimization, AI agent infrastructure & distributed cloud runtimes"
2026-08-20,2026-08-23,Stripe,Software Engineer Intern (Summer 2027),Core Software Engineering,"San Francisco, CA / Seattle, WA / Remote",High Priority,Long,Rolling (High Urgency),$60 - $75/hr + Housing,https://stripe.com/careers/listing/software-engineer-intern/8097801,No Application,"Global financial infrastructure, payment engine APIs, service discovery & high-throughput distributed databases"
2026-08-21,2026-08-23,Physical Intelligence,AI & Robotics Research Intern (Summer 2027),Robotics & Autonomous Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),$50 - $65/hr,https://jobs.ashbyhq.com/physicalintelligence,No Application,"Foundation models for physical embodiment, reinforcement learning & whole-body dexterity"
2026-08-20,2026-08-23,Nuro,"Software Engineer, AI Platform - Intern (Summer 2027)",Robotics & Autonomous Systems,"Mountain View, CA",High Priority,Long,Rolling (High Urgency),$48 - $70/hr,https://www.nuro.ai/careers,No Application,"Autonomous delivery vehicle AI platform, onboard autonomy drivers & distributed evaluation infrastructure"
2026-08-19,2026-08-23,Verkada,Hardware Engineering & Global Sourcing Specialist Intern (Summer 2027),Embedded & Firmware,"San Mateo, CA",High Priority,Short,Rolling (High Urgency),$35 - $45/hr,https://job-boards.greenhouse.io/verkada/jobs/5175755007,No Application,"Computer vision camera hardware, sensor telemetry, edge physical AI devices & direct supplier bring-up"
2026-08-20,2026-08-23,Chicago Trading Company (CTC),Software Engineering Internship - Summer 2027,Core Software Engineering,"Chicago, IL",Low Priority,Short,Rolling (Low Urgency),$100/hr + Housing,https://job-boards.greenhouse.io/chicagotradingcampus/jobs/4716932005,No Application,"Real-time high-throughput market connectivity, low-latency C++ order routers & algorithmic pricing platforms"
2026-08-19,2026-08-23,Freeform,Materials & Laser Sintering Robotics Intern (Summer 2027),Robotics & Autonomous Systems,"Hawthorne, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$30/hr,https://job-boards.greenhouse.io/freeformfuturecorp/jobs/7907965003,No Application,"Autonomous 3D metal printing workcells, closed-loop thermal laser controls & defect detection vision"
2026-08-19,2026-08-23,General Matter,Chemical Engineering - Summer 2027 Internship,Embedded & Firmware,"Los Angeles, CA (near UCLA)",High Priority,Short,Rolling (High Urgency),$30 - $40/hr + housing,https://job-boards.greenhouse.io/generalmatter/jobs/5376051008,No Application,"Nuclear enrichment chemistry automation, sensor calibration & physical process control loops"
2026-08-20,2026-08-23,Wayve,Autonomous Vehicle Application Software Engineer Intern (Summer 2027),Robotics & Autonomous Systems,"Sunnyvale, CA / Mountain View, CA",High Priority,Short,Rolling (High Urgency),$45 - $65/hr,https://wayve.firststage.co/jobs/iYOT8WnsHK/view?layout=grid,No Application,"End-to-end embodied AI driver, hardware bring-up on NVIDIA Orin/Qualcomm Ride, embedded Linux & QNX"
2026-08-20,2026-08-23,Wayve,AI Portal & Cloud Platform Software Engineer Intern (Summer 2027),Core Software Engineering,"Sunnyvale, CA / Remote",High Priority,Short,Rolling (High Urgency),$45 - $60/hr,https://wayve.firststage.co/jobs/q1Fl4jEm0Z/view?layout=grid,No Application,"Microservices, autonomous vehicle simulation telemetry & partner data pipeline integrations in Java/Python/TypeScript"
2026-08-21,2026-08-23,Perplexity,Member of Technical Staff Intern (AI Research & Search Systems),AI/ML Platforms & Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),$50 - $70/hr,https://jobs.ashbyhq.com/perplexity,No Application,"Agentic search architecture, neural information retrieval & multi-modal generative inference"
2026-08-21,2026-08-23,Modal,Systems & Cloud Infrastructure Engineering Intern (Summer 2027),Core Software Engineering,"San Francisco, CA / New York, NY",High Priority,Short,Rolling (High Urgency),$55 - $75/hr,https://jobs.ashbyhq.com/modal,No Application,"Serverless GPU orchestration, container micro-virtualization runtime & low-latency cloud infrastructure"
2026-08-19,2026-08-23,Circleback,Software Engineering Intern (Summer 2027 - Product Systems),Full Stack & Web,"San Francisco, CA",Medium Priority,Short,Rolling (Medium Urgency),"$7,000 - $10,000/mo",https://jobs.ashbyhq.com/circleback/2bb6be67-d1a8-42f7-bb1b-64ee36bf613f,No Application,"AI meeting intelligence architecture, real-time desktop & web client synchronization"
2026-08-20,2026-08-23,CTGT,AI Governance & Policy Systems Engineering Intern (Summer 2027),AI/ML Platforms & Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),"$8,000 - $12,000/mo",https://jobs.ashbyhq.com/ctgt/f657c2f5-125e-42b6-a68a-646bbea3d155,No Application,"Deterministic AI evaluation platforms, compliance policy compiler & verification runtime"
2026-08-19,2026-08-23,Quadrillion Labs,Agentic ML Research & Infrastructure Intern (Summer 2027),AI/ML Platforms & Systems,"New York, NY",Low Priority,Short,Rolling (Low Urgency),"$4,000 - $6,000/wk",https://jobs.ashbyhq.com/quadrillion-labs/a4acc44c-31ce-41a0-ab44-2500487b4d05,No Application,"Large-scale foundation model evaluation, autonomous AI benchmarking & agent training loops"
2026-08-20,2026-08-23,Heliux Inc.,Hardware & Manufacturing Software Engineer Intern (Summer 2027),Robotics & Autonomous Systems,"San Francisco, CA",High Priority,Short,Rolling (High Urgency),Competitive,https://jobs.ashbyhq.com/heliux/ff2b6f4b-00d0-4afe-b4f5-2dbf443409ef,No Application,"AI-native manufacturing systems, real-time robotics workcells & hardware telemetry automation"
2026-08-20,2026-08-23,Front,Software Engineering Intern - Systems & Collaboration Platform (Spring/Summer 2027),Full Stack & Web,"San Francisco, CA / Remote",Medium Priority,Short,Rolling (Medium Urgency),Competitive ($45 - $55/hr),https://jobs.ashbyhq.com/frontcareers/1026a32c-f8cc-4eee-992b-bacdf771d9fc,No Application,"Enterprise multi-channel messaging platform, distributed event streaming & collaborative workflow automation"
2026-08-22,2026-08-25,NVIDIA,NVIDIA 2027 Internships: Systems Software Engineering,Embedded & Firmware,"Santa Clara, CA (Bay Area)",High Priority,Long,Rolling (High Urgency),$20 - $71/hr,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--Systems-Software-Engineering_JR2023492,No Application,"GPU drivers, low-level OS runtime, and accelerated computing system software"
2026-08-19,2026-08-25,NVIDIA,NVIDIA 2027 Internships: Deep Learning Computer Architecture,AI/ML Platforms & Systems,"Santa Clara, CA (Bay Area)",High Priority,Long,Rolling (High Urgency),$20 - $71/hr,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--Deep-Learning-Computer-Architecture_JR2023491,No Application,"Next-gen tensor core architecture, hardware modeling & deep learning workload acceleration"
2026-08-21,2026-08-25,NVIDIA,NVIDIA 2027 Internships: Computer Architecture,Embedded & Firmware,"Santa Clara, CA (Bay Area)",High Priority,Long,Rolling (High Urgency),$20 - $71/hr,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--Computer-Architecture_JR2023489,No Application,"GPU microarchitecture simulation, instruction set architecture (ISA) & performance modeling"
2026-08-22,2026-08-25,NVIDIA,NVIDIA 2027 Internships: Software Engineering,Core Software Engineering,"Santa Clara, CA (Bay Area)",High Priority,Long,Rolling (High Urgency),$20 - $71/hr,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--Software-Engineering_JR2023495,No Application,"CUDA platform software, distributed acceleration libraries & developer infrastructure"
2026-08-20,2026-08-25,Kodiak Robotics,"Winter 2027 Intern, Artificial Intelligence/Machine Learning",Robotics & Autonomous Systems,"Mountain View, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive,https://job-boards.greenhouse.io/kodiak/jobs/4377407009,No Application,"3D perception, foundation models, camera/lidar/radar fusion for autonomous long-haul trucking"
2026-08-20,2026-08-25,Kodiak Robotics,"Winter 2027 Intern, Motion Planning",Robotics & Autonomous Systems,"Mountain View, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive,https://job-boards.greenhouse.io/kodiak/jobs/4377721009,No Application,"Decision-making, trajectory generation, and behavioral planning algorithms in modern C++"
2026-08-22,2026-08-25,Valstad,"Robotics Software Intern, Manipulation & Simulation",Robotics & Autonomous Systems,"San Francisco, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),$34 - $42/hr,https://jobs.ashbyhq.com/valstad/8478558b-c5b5-43d2-b9c0-eae7a1fb30d8,No Application,"Robotic manipulation, motion-planning, simulation infrastructure & robot-log replay in factory automation"
2026-08-21,2026-08-25,Niantic Spatial,Robotics Engineering Intern (Robot Learning & Sim-to-Real),Robotics & Autonomous Systems,"San Francisco, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive,https://jobs.ashbyhq.com/niantic-spatial/02fe210c-a0d9-419f-a0c0-da32d9ff7307,No Application,"Sim-to-real deployment (Isaac Sim / MuJoCo), physical robot locomotion & navigation control"
2026-08-21,2026-08-25,Human Computer Lab,Software & ML Engineering Intern (Robot Perception),Computer Vision,"San Francisco, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive,https://jobs.ashbyhq.com/human-computer-lab/7d13ae27-1f02-4d9b-8d39-e3d9d67df705,No Application,"Computer vision, robot perception, interaction models & real-time embedded hardware integration"
2026-08-21,2026-08-25,Etched,Firmware Engineering Intern (AI Accelerator Chips),Embedded & Firmware,"San Jose, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive + Housing Support,https://jobs.ashbyhq.com/etched/699f3ab2-07e4-466c-9d76-3d4a3abb4ebc,No Application,"Low-level C/C++/Rust drivers, hardware bring-up & ASIC firmware for transformer accelerators"
2026-08-22,2026-08-25,OpenMind,Robotics Software Intern (Fleet & Autonomy),Robotics & Autonomous Systems,"San Francisco, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive,https://jobs.ashbyhq.com/openmind/7367a37a-37d9-42d8-91d4-f4d3e42f3e29,No Application,"Robot platform SDK integration, sensor calibration, SLAM, ROS and autonomous navigation"
2026-08-22,2026-08-25,Haast Autonomous,Summer 2027 Engineering Internship (Avionics & Autonomous UAVs),Robotics & Autonomous Systems,"San Francisco, CA (Bay Area)",High Priority,Short,Rolling (High Urgency),Competitive,https://jobs.ashbyhq.com/haastautonomous/5e3667c4-3d04-40d9-87d1-6b7fe6539e2d,No Application,"Autonomous aircraft prototyping, flight avionics, ArduPilot/PX4 controls and hardware testing"
